Date;Temps annuel de travail (SNCF);Temps annuel de travail (France);Commentaires
1852;4300.0;;
1854;4300.0;;
1864;4200.0;;Jusqu'en 1864, il n'existait aucune loi relative à la limitation de la durée du travail. La durée journalière du travail était d'environ 12 h, durée dépassée dans certains services (une circulaire ministérielle en date du 3 mai 1864 prescrivait de ne pas faire effectuer plus de 12 h par jour aux aiguilleurs).
1871;4200.0;;
1881;4200.0;;
1886;4200.0;;
1891;4200.0;;
1898;4100.0;;
1900;3700.0;;Un arrêté du 23 novembre 1899 limite à 12 h par jour la durée du travail des agents des gares du service de sécurité et prescrit pour ces agents un jour de repos par mois.
1901;3600.0;;Un arrêté du 10 octobre 1901 institue pour le personnel de la voie un régime de travail analogue à celui qui avait été fixé pour le personnel des gares par l'arrêté du 23 novembre 1899.
1905;3600.0;;
1906;3600.0;;
1908;3250.0;;
1911;3250.0;;
1919;3250.0;;Les Grands Réseaux accordent le repos hebdomadaire.
1920;3250.0;;
1925;2384.0;;
1926;2384.0;;
1928;2384.0;;
1937;1946.0;;"La loi du 21 juin 1936 institue la semaine de 40 h; le décret du 18 janvier 1937 détermine les modalités d'application de cette loi au personnel des Chemins de fer."
1942;2408.0;;
1945;2373.0;;
1946;2336.0;;
1947;2336.0;;
1953;2232.0;1825.0;
1959;2232.0;1807.0;
1960;2256.0;1826.0;
1962;2216.0;1836.0;La durée de la semaine de travail est ramenée à 46 h (1er octobre).
1963;2147.0;1831.0;
1964;2139.0;1847.0;Le congé annuel du personnel d'exécution est fixé à 26 jours ouvrables (décision ministérielle du 13  juin 1964).
1968;2100.0;1798.0;Le congé annuel du personnel d’exécution, à service continu, est porté à 28 jours ouvrables, à partir du 1er juillet (décision ministérielle du 19 novembre 1968). La durée de la semaine de travail est ramenée à 44 h 30 (22 juillet).
1970;2016.0;1739.0;La durée de la semaine de travail est ramenée à 43 h 30 le 1er juin et à 43 h le 1er novembre.
1971;1966.0;1743.0;La durée de la semaine de travail est ramenée à 42 h le26 septembre.
1973;1886.0;1696.0;La durée de la semaine de travail est ramenée à 41 h le26 janvier.
1974;1863.0;1673.0;La durée de la semaine de travail est ramenée à 40 h le 1er juillet.
1975;1821.0;1653.0;
1976;1842.0;1682.0;
1977;1833.0;1651.0;
1979;1822.0;1625.0;
1980;1808.0;1621.0;
1984;1744.0;1511.0;
1993;1736.0;1485.0;
2000;1575.0;1430.0;La durée de la semaine de travail est ramenée à 35 h le 1er janvier.
2003;1575.0;1391.0;
2013;1589.0;1417.0;
1858;4300.0;;
1861;4300.0;;
1863;4300.0;;
1885;4200.0;;
1887;4200.0;;
1890;4200.0;;
1907;3250.0;;Les Grands Réseaux accordent le repos hebdomadaire.
1913;3250.0;;
1916;3250.0;;
1917;3250.0;;
1918;3250.0;;
1922;2384.0;;
1931;2384.0;;
